INTENT_CD,건수,평균만족도,직접입력비율,평균질문길이
ProductSymtoms,1427,7.69656622284513,0.779957953749124,16.74071478626489
ProductInformation,1157,7.694036300777873,0.9386343993085566,21.68452895419188
OnSiteReservation,1024,8.208984375,0.2900390625,13.66796875
ProductSearch,494,7.180161943319838,0.868421052631579,15.28137651821862
ProductCompare,312,7.506410256410256,0.9262820512820513,25.92628205128205
tips_product_faq,207,7.714975845410628,0.0,31.96135265700483
PromotionCommon,191,6.842931937172775,0.93717277486911,22.26178010471204
ProductGeneral,187,7.283422459893048,0.9625668449197861,16.05347593582888
Default,162,4.895061728395062,0.9567901234567902,12.14197530864197
DeliveryChat,135,6.777777777777778,0.9333333333333333,7.592592592592593
ServiceSearch,126,6.841269841269841,0.3968253968253968,16.91269841269841
DirectOnSiteReservation,113,7.265486725663717,0.7522123893805309,10.54867256637168
SmallTalk,104,7.990384615384615,1.0,9.884615384615385
PurchaseChat,101,7.554455445544554,0.3663366336633663,13.0
tips_solution_faq,99,9.080808080808081,0.0,34.2020202020202
ProductionBenefit,87,8.35632183908046,0.6436781609195402,28.1264367816092
SubscriptionInformation,87,7.724137931034483,1.0,24.05747126436782
OnSiteReservationSignal,64,7.015625,0.078125,7.765625
Fallback,61,7.770491803278689,1.0,15.68852459016393
SubscriptionBenefit,59,7.64406779661017,0.7796610169491526,30.13559322033898
ServiceManagerRequestSignal,59,7.779661016949152,0.0,5.0
ConsumablesSearch,55,5.6,1.0,16.94545454545455
ServiceCenterLocation,53,8.69811320754717,0.3773584905660378,9.471698113207546
ServiceChangeSignal,52,8.653846153846153,1.0,6.615384615384615
tips_subscription_faq,52,7.923076923076923,0.0,31.26923076923077
ServiceCancelSignal,50,9.2,0.0,5.0
CleaningReservation,47,9.106382978723405,0.4893617021276596,10.5531914893617
InstallationInquiry,46,7.717391304347826,1.0,26.43478260869565
InstallationCost,40,8.625,1.0,16.775
DeliveryAvailableSignal,39,8.461538461538462,0.0,10.0
CustomerChat,38,6.736842105263158,0.7368421052631579,9.263157894736842
DeliveryInquiry,37,7.756756756756757,1.0,19.78378378378378
ServiceChat,37,8.054054054054054,1.0,8.91891891891892
InstallationReservation,35,7.742857142857143,1.0,11.45714285714286
DeliveryAvailable,31,6.774193548387097,1.0,24.25806451612903
DeliveryDesiredDate,30,7.533333333333333,1.0,28.46666666666667
CollectionDiscardedProduct,30,9.266666666666667,1.0,25.53333333333333
OnSiteInquiry,30,8.633333333333333,1.0,18.7
SubscriptionRecommend,30,6.866666666666666,0.5666666666666667,18.7
ReviewSearch,27,9.222222222222221,0.0,22.0
SubscriptionPaymentChange,26,6.461538461538462,1.0,13.11538461538461
DeliveryAddress,26,6.115384615384615,1.0,17.42307692307692
ProductInstallationAvailability,25,7.84,1.0,31.76
DeliveryChange,24,8.166666666666666,1.0,17.79166666666667
ServiceCenterInquiry,23,6.869565217391305,1.0,26.21739130434782
ChangeDoorDirection,22,9.409090909090908,1.0,19.04545454545455
DeliveryComplaint,22,8.136363636363637,1.0,21.0
CleaningCost,21,9.523809523809524,1.0,12.71428571428571
MembershipPointAccumulation,20,6.8,1.0,23.65
OwnedProductSearch,20,6.6,0.55,13.05
Logout,17,8.647058823529411,1.0,8.058823529411764
ConsumablesPurchase,17,4.823529411764706,1.0,27.94117647058824
CleaningReservationSignal,17,9.235294117647058,1.0,6.411764705882353
ServiceCancel,17,6.941176470588236,1.0,8.294117647058824
RepaireCost,17,7.117647058823529,1.0,15.64705882352941
CleaningInquiry,16,8.3125,1.0,17.1875
ProductPurchase,16,8.4375,1.0,18.75
OnSiteServiceCancel,16,8.3125,1.0,16.125
SubscriptionSearch,15,5.466666666666667,0.8,13.06666666666667
ServicePaymentMethod,15,9.133333333333333,1.0,13.86666666666667
CustomerComplaint,15,4.133333333333334,1.0,26.66666666666667
OrderSearch,14,6.285714285714286,1.0,29.78571428571428
ServiceChange,14,7.857142857142857,1.0,18.07142857142857
ProductSearchButton,14,9.0,0.0,8.0
SerialInstallation,14,7.571428571428571,1.0,39.28571428571428
DeliverySearch,14,6.285714285714286,1.0,19.92857142857143
CallCenterPhoneNumber,13,7.692307692307693,1.0,9.615384615384615
ServiceCenterFindCurrentLocation,12,9.666666666666666,1.0,9.0
SubscribedProductsChange,12,4.25,1.0,17.58333333333333
MembershipInquiry,12,6.166666666666667,1.0,13.08333333333333
OnSiteServiceChange,12,5.083333333333333,1.0,14.66666666666667
SimilarRecommendedProducts,12,9.166666666666666,0.08333333333333333,33.66666666666666
DeliveryInquirySignal,12,7.0,0.0,8.0
ServiceComplaint,12,5.666666666666667,1.0,16.41666666666667
WarrantyPeriod,12,7.833333333333333,1.0,16.33333333333333
MembershipPointUsage,11,6.454545454545454,1.0,20.81818181818182
DeliveryLadderTruckSignal,11,9.545454545454545,0.0,13.0
ProductLiability,11,3.454545454545455,1.0,7.545454545454546
OrderCancel,10,3.3,1.0,25.6
BestshopLocation,10,6.4,1.0,18.5
HomeStyleInformation,10,8.8,1.0,20.3
ManualDownload,10,5.4,0.9,22.9
ServiceCenterOperatingTime,10,9.7,1.0,13.9
CleaningCostSignal,9,7.444444444444445,1.0,12.0
SubscriptionPaymentSearch,9,9.777777777777779,1.0,10.77777777777778
ReplacementConsumables,9,3.0,1.0,14.77777777777778
Restocking,8,7.375,1.0,18.625
ReservationInformationChange,7,6.571428571428571,1.0,20.57142857142857
DeliveryLadderTruck,7,9.285714285714286,1.0,15.0
OrderFormComplaint,7,4.142857142857143,1.0,25.85714285714286
ServiceCenterFindLocationName,7,6.285714285714286,0.0,8.0
RequestPhoneCall,7,6.428571428571429,1.0,21.85714285714286
Stock,7,7.142857142857143,1.0,19.14285714285714
ServiceCenterPhoneNumber,7,6.142857142857143,1.0,11.28571428571429
MultiProductSearch,7,8.857142857142858,1.0,20.42857142857143
DeliveryNoneInstallationSignal,6,8.5,0.0,14.0
EmployeeBenefit,6,8.5,1.0,16.5
CallCenterOperationTime,6,9.5,1.0,12.83333333333333
SubscribedProductsCancel,6,5.5,1.0,5.5
MembershipCancel,6,2.5,1.0,8.833333333333334
MembershipBenefit,6,6.666666666666667,1.0,12.33333333333333
RepaireEstimate,6,8.333333333333334,0.8333333333333334,14.5
OneOnOneConsultation,6,4.5,1.0,7.5
OwnedConsumablesSearch,5,4.6,0.8,37.6
InstallationSearch,5,5.6,1.0,18.2
ReOnSiteReservation,5,8.0,1.0,12.8
Competitor,5,8.8,1.0,11.4
CollectionDiscardedProductSignal,5,9.6,0.0,9.0
ConsumablesSearchButton,5,5.0,0.0,13.0
InstallationAvailability,5,9.4,1.0,7.8
SubscriptionScheduleSearch,5,3.6,1.0,21.6
SubcriptionCompare,5,7.0,0.2,39.8
Components,4,4.5,1.0,19.25
DeliveryAddressSignal,4,7.75,0.0,12.0
PersonalInformation,4,7.75,1.0,24.75
PreInspectionInquiry,4,10.0,1.0,8.75
LoginFail,4,4.0,1.0,19.75
LGThinQ,4,8.0,1.0,8.25
DeliveryNoneInstallation,4,8.25,1.0,40.25
ReMalfunction,4,5.0,1.0,43.0
RelocationInstallationInquiry,4,9.5,1.0,9.25
BestshopFindLocationName,3,7.666666666666667,0.0,8.0
ReplacementProduct,3,4.0,1.0,26.0
MembershipChange,3,4.0,1.0,6.666666666666667
StorySearch,3,10.0,1.0,16.66666666666667
BestshopReservation,3,1.666666666666667,1.0,23.33333333333333
BestshopFindCurrentLocation,3,10.0,0.3333333333333333,8.333333333333334
MemberInfomationChange,3,4.0,1.0,7.333333333333333
MissedCall,3,9.333333333333334,1.0,17.0
PhoneConsultation,3,7.666666666666667,1.0,11.33333333333333
ReSubscription,3,8.333333333333334,1.0,16.33333333333333
ProductNumber,3,3.333333333333333,1.0,17.0
SubscriptionPurchase,3,3.333333333333333,1.0,26.66666666666667
CheckEmailResponse,2,5.5,1.0,18.0
ProductRefund,2,2.0,1.0,9.5
DeliveryCost,2,10.0,1.0,19.5
LogoutFail,2,6.5,1.0,16.0
ProdutReturn,2,5.5,1.0,7.5
NotificationSubError,2,10.0,1.0,25.5
MultiItemSearch,2,8.0,1.0,14.0
ManualInquiry,2,9.5,1.0,12.5
EveningService,2,9.0,1.0,16.0
MyInquiry,2,5.0,1.0,9.5
ChangeManager,1,10.0,1.0,13.0
EmployeesSection,1,10.0,1.0,52.0
FreeServiceProduct,1,9.0,1.0,5.0
OverseasProduct,1,5.0,1.0,40.0
OrderChange,1,10.0,1.0,10.0
PartsPrices,1,7.0,1.0,19.0
OnSiteReservationWithSymtoms,1,1.0,1.0,2.0
MusicSearch,1,9.0,1.0,17.0
MembershipRegistration,1,10.0,1.0,18.0
MembershipPointAccumulationCheck,1,10.0,1.0,15.0
LongTimeAgoProduct,1,2.0,1.0,16.0
HomeStyleRecommand,1,10.0,1.0,4.0
ProductNumberLocation,1,10.0,1.0,20.0
ProductRegister,1,10.0,1.0,6.0
ServiceChatCancel,1,10.0,1.0,6.0
ServiceCenterReservationChange,1,5.0,1.0,13.0
SubscriptionDeliverySearch,1,6.0,1.0,37.0
SubscribedProductsSearch,1,1.0,1.0,16.0
SurveyInquiry,1,5.0,1.0,23.0
